epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,420.807,0.93421,2.19991,0.17301,0.57988,0.96545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
110,424.755,0.88609,2.19985,0.16694,0.56271,0.95081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006403,0.006403,0.006403
111,428.165,0.90181,2.1104,0.15401,0.56795,0.94586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00637,0.00637,0.00637
112,431.628,0.88801,2.00179,0.15665,0.56512,0.95264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
113,435.247,0.89366,2.02204,0.14029,0.55088,0.92665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006304,0.006304,0.006304
114,439.306,0.92252,2.06202,0.15906,0.56321,0.95348,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006271,0.006271,0.006271
115,443.407,0.8625,1.87868,0.14983,0.54119,0.9272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
116,447.198,0.94267,2.02719,0.18066,0.57135,0.9654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006205,0.006205,0.006205
117,450.694,0.91425,2.00931,0.17429,0.56491,0.9596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006172,0.006172,0.006172
118,454.147,0.84895,1.81746,0.16316,0.54307,0.93464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
119,457.977,0.85131,1.93059,0.16484,0.54689,0.95994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006106,0.006106,0.006106
120,461.626,0.90705,1.86533,0.18311,0.56598,0.9682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006073,0.006073,0.006073
121,465.057,0.85751,1.7545,0.17166,0.55677,0.93885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
122,468.494,0.8384,1.78221,0.14555,0.5352,0.94613,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006007,0.006007,0.006007
123,471.911,0.87917,1.88791,0.15002,0.55444,0.94123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005974,0.005974,0.005974
124,475.263,0.85284,1.79157,0.19022,0.55589,0.98627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
125,478.661,0.8347,1.83906,0.13417,0.53548,0.92934,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005908,0.005908,0.005908
126,482.116,0.8313,1.75781,0.16633,0.54168,0.92656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005875,0.005875,0.005875
127,485.48,0.82056,1.72995,0.13252,0.52385,0.91064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
128,488.913,0.87085,1.80886,0.17189,0.5435,0.95245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005809,0.005809,0.005809
129,492.486,0.87077,1.76363,0.17229,0.53883,0.94308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005776,0.005776,0.005776
130,495.868,0.82518,1.58888,0.14817,0.52269,0.9168,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
131,499.667,0.83022,1.72234,0.16121,0.52515,0.9302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00571,0.00571,0.00571
132,503.086,0.83703,1.78003,0.14116,0.52472,0.92897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005677,0.005677,0.005677
133,506.529,0.85584,1.6829,0.15929,0.5463,0.96196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
134,509.916,0.80772,1.62915,0.1635,0.51851,0.93179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005611,0.005611,0.005611
135,513.486,0.81946,1.62876,0.15283,0.52149,0.91929,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005578,0.005578,0.005578
136,516.871,0.82971,1.66755,0.19157,0.52737,0.96431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
137,520.239,0.75681,1.51964,0.14859,0.50159,0.92384,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005512,0.005512,0.005512
138,523.643,0.80639,1.61649,0.15719,0.52178,0.93528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005479,0.005479,0.005479
139,527.48,0.81209,1.6444,0.15742,0.51732,0.9234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
140,530.826,0.80854,1.54895,0.15578,0.51701,0.92861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005413,0.005413,0.005413
141,534.256,0.8305,1.65919,0.18375,0.52314,0.93837,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00538,0.00538,0.00538
142,537.926,0.76503,1.5121,0.16475,0.50113,0.91647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
143,541.312,0.77664,1.44857,0.15115,0.49755,0.91825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005314,0.005314,0.005314
144,544.723,0.7907,1.45541,0.16481,0.50164,0.93347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005281,0.005281,0.005281
145,548.11,0.83549,1.55084,0.15351,0.52182,0.93864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
146,551.823,0.82716,1.59464,0.14994,0.51281,0.91864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005215,0.005215,0.005215
147,555.229,0.82197,1.44201,0.16413,0.49933,0.92506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005182,0.005182,0.005182
148,558.627,0.80454,1.43122,0.18183,0.5178,0.96007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
149,562.039,0.82731,1.52914,0.17413,0.52163,0.93622,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005116,0.005116,0.005116
150,565.837,0.7627,1.40354,0.13406,0.50208,0.90525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005083,0.005083,0.005083
151,569.712,0.83575,1.54965,0.13199,0.50422,0.9123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
152,573.12,0.79944,1.45066,0.13157,0.50628,0.91394,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005017,0.005017,0.005017
153,576.47,0.79502,1.35427,0.13718,0.49997,0.90384,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004984,0.004984,0.004984
154,579.873,0.76936,1.37982,0.15441,0.49329,0.92204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
155,583.294,0.76737,1.41185,0.15446,0.49365,0.92472,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004918,0.004918,0.004918
156,586.698,0.84998,1.48758,0.14289,0.50795,0.9177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004885,0.004885,0.004885
157,590.139,0.74127,1.29148,0.14332,0.47925,0.91474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
158,593.533,0.74418,1.25778,0.13356,0.48368,0.91173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004819,0.004819,0.004819
159,596.902,0.76312,1.24905,0.16168,0.4921,0.9259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004786,0.004786,0.004786
160,600.292,0.80207,1.40698,0.14813,0.49735,0.91503,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
161,603.714,0.81052,1.36808,0.15423,0.49552,0.91978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00472,0.00472,0.00472
162,607.29,0.74127,1.24083,0.17447,0.4832,0.94827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004687,0.004687,0.004687
163,610.878,0.75537,1.35133,0.15103,0.49173,0.92326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
164,614.387,0.74174,1.31532,0.14625,0.48285,0.90123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004621,0.004621,0.004621
165,617.83,0.72225,1.12069,0.13601,0.46605,0.88936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004588,0.004588,0.004588
166,621.22,0.78271,1.38864,0.14372,0.48349,0.88753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
167,624.751,0.75723,1.3813,0.15163,0.48307,0.90048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004522,0.004522,0.004522
168,628.245,0.76284,1.32052,0.15629,0.50656,0.92631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004489,0.004489,0.004489
169,631.64,0.72614,1.30801,0.14268,0.47601,0.89155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
170,635.017,0.74249,1.28323,0.12442,0.47072,0.91361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004423,0.004423,0.004423
171,638.39,0.7224,1.23468,0.15209,0.47634,0.93893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00439,0.00439,0.00439
172,641.74,0.75749,1.33573,0.1337,0.46073,0.89548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
173,645.586,0.69969,1.19671,0.14848,0.46077,0.90157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004324,0.004324,0.004324
174,649.426,0.72361,1.23178,0.14772,0.46461,0.91024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004291,0.004291,0.004291
175,652.773,0.75669,1.24285,0.14038,0.48434,0.92802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
176,656.157,0.70103,1.18819,0.12106,0.45395,0.87924,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004225,0.004225,0.004225
177,659.582,0.7305,1.19233,0.1275,0.46497,0.87947,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004192,0.004192,0.004192
178,662.996,0.73378,1.23972,0.13927,0.47091,0.90483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
179,666.809,0.69009,1.14456,0.13077,0.45542,0.88283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004126,0.004126,0.004126
180,670.234,0.6736,1.08582,0.14328,0.45292,0.90347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004093,0.004093,0.004093
181,673.603,0.71935,1.24781,0.13836,0.45969,0.88293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
182,676.998,0.73384,1.18355,0.13707,0.4653,0.88701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004027,0.004027,0.004027
183,680.578,0.71799,1.09264,0.16446,0.46536,0.91126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003994,0.003994,0.003994
